Image_A,Image_B,SSIM_Score
anemo_0_07.29_17.56.33_33.jpg,anemo_0_07.29_17.56.33_43.jpg,0.9411147727451201
anemo_0_07.24_09.08.33._4.jpg,anemo_0_07.24_09.08.33._10.jpg,0.9254165288792876
anemo_0_07.23_21.26.33_19.jpg,anemo_0_07.23_21.26.33_15.jpg,0.9384643081552827
selected_frame_168133.jpg,selected_frame_509952.jpg,0.9147693116470534
anemo_0_07.24_11.08.33._8.jpg,anemo_0_07.24_11.08.33._10.jpg,0.9565269201085591
anemo_0_07.24_18.08.34._35.jpg,anemo_0_07.24_18.08.34._7.jpg,0.9285861627727275
anemo_0_07.26_19.56.33_22.jpg,anemo_0_07.26_19.56.33_18.jpg,0.9155376317073467
anemo_0_07.23_19.56.33_4.jpg,anemo_0_07.23_19.56.33_33.jpg,0.9243827984557629
anemo-05_2.60.5.jpg,anemo-05_2.60.4.jpg,0.9175941196396985
selected_frame_239298.jpg,selected_frame_549220.jpg,0.9051212446386996
anemo_0_07.26_14.38.33._16.jpg,anemo_0_07.26_14.38.33._12.jpg,0.9101040108722294
anemo_0_07.22_21.38.33._19.jpg,anemo_0_07.22_21.38.33._9.jpg,0.9211568817680628
anemo_0_07.24_10.56.33_14.jpg,anemo_0_07.24_10.56.33_17.jpg,0.9477066958182363
selected_frame_552251.jpg,selected_frame_508241.jpg,0.9093361108664412
anemo_0_07.29_16.26.33_34.jpg,anemo_0_07.29_16.26.33_32.jpg,0.9330087939106617
anemo_0_07.23_21.08.33._20.jpg,anemo_0_07.23_21.08.33._16.jpg,0.9317635016914266
anemo_0_08.19_18.26.33_51.jpg,anemo_0_08.19_18.26.33_45.jpg,0.9291823729030004
anemo_0_07.26_11.08.33._21.jpg,anemo_0_07.26_11.08.33._18.jpg,0.926912848173642
anemo_0_07.28_15.56.33_50.jpg,anemo_0_07.28_15.56.33_51.jpg,0.9015133701195344
anemo_0_08.22_16.56.54_40.jpg,anemo_0_08.22_16.56.54_38.jpg,0.917521963247292
selected_frame_80442.jpg,selected_frame_699733.jpg,0.9475220642550886
anemo_0_07.24_11.56.33_6.jpg,anemo_0_07.24_11.56.33_10.jpg,0.9233620866324399
anemo_0_08.19_18.56.33_26.jpg,anemo_0_08.19_18.56.33_13.jpg,0.9272841014348442
anemo_0_07.23_21.26.33_5.jpg,anemo_0_07.23_21.26.33_20.jpg,0.9137721709495517
selected_frame_648035.jpg,selected_frame_101002.jpg,0.919580166882664
anemo_0_07.29_11.26.33_15.jpg,anemo_0_07.29_11.26.33_23.jpg,0.9047626288473573
anemo_0_07.25_10.08.33._4.jpg,anemo_0_07.25_10.08.33._13.jpg,0.9240792166350661
anemo_0_07.26_11.26.33_18.jpg,anemo_0_07.26_11.26.33_11.jpg,0.9362690142540878
anemo_0_07.25_10.08.33._11.jpg,anemo_0_07.25_10.38.33._10.jpg,0.9034261028466285
anemo_0_07.26_19.56.33_14.jpg,anemo_0_07.26_19.56.33_18.jpg,0.912154244916236
anemo_0_07.23_21.08.33._18.jpg,anemo_0_07.23_21.08.33._16.jpg,0.9351597494242335
selected_frame_584560.jpg,selected_frame_108346.jpg,0.912539985779022
selected_frame_79792.jpg,selected_frame_101002.jpg,0.9243297306984243
selected_frame_729732.jpg,selected_frame_698139.jpg,0.9078234386543456
anemo_0_07.20_15.38.33._40.jpg,anemo_0_07.20_15.38.33._38.jpg,0.9209511945513008
anemo_0_07.22_21.26.33_3.jpg,anemo_0_07.22_21.26.33_5.jpg,0.9060135743246778
anemo_0_07.23_19.56.33_0.jpg,anemo_0_07.23_19.56.33_33.jpg,0.9307887729776441
anemo_0_07.29_18.26.33_33.jpg,anemo_0_07.29_18.26.33_0.jpg,0.945023391396587
anemo_0_07.22_16.38.33._16.jpg,anemo_0_07.22_16.38.33._17.jpg,0.9301178850522597
anemo_0_07.22_10.26.33_12.jpg,anemo_0_07.22_10.26.33_19.jpg,0.9197390940703136
anemo_0_07.24_17.38.33._1.jpg,anemo_0_07.24_17.38.33._14.jpg,0.9311523404521141
anemo_0_07.27_15.38.33._27.jpg,anemo_0_07.27_15.38.33._10.jpg,0.9392816440829987
anemo_0_07.25_18.26.33_23.jpg,anemo_0_07.25_18.26.33_31.jpg,0.9049272666704993
anemo_0_07.19_22.26.34_0.jpg,anemo_0_07.24_08.56.34_1.jpg,0.9098953907115418
anemo_0_07.26_13.08.33._35.jpg,anemo_0_07.26_13.08.33._38.jpg,0.9437677776674527
anemo_0_07.29_17.56.33_41.jpg,anemo_0_07.29_17.56.33_51.jpg,0.9452947759558495
selected_frame_879326.jpg,selected_frame_454826.jpg,0.9086291798533115
selected_frame_808624.jpg,selected_frame_284928.jpg,0.9161202097391288
anemo_0_07.22_10.26.33_25.jpg,anemo_0_07.22_10.26.33_27.jpg,0.9136834264191352
anemo_0_07.26_13.08.33._10.jpg,anemo_0_07.26_13.08.33._38.jpg,0.9416047297644253
selected_frame_729127.jpg,selected_frame_936654.jpg,0.917787798892496
anemo_0_08.22_16.56.54_27.jpg,anemo_0_08.22_16.56.54_25.jpg,0.9166162700977891
anemo_0_07.26_14.38.33._47.jpg,anemo_0_07.26_14.38.33._25.jpg,0.9225040384817882
anemo_0_07.23_20.38.33._43.jpg,anemo_0_07.23_20.38.33._21.jpg,0.9207303338102603
selected_frame_440306.jpg,selected_frame_869700.jpg,0.9219745251044323
anemo_0_07.28_12.26.33_12.jpg,anemo_0_07.28_12.26.33_8.jpg,0.9317575723854528
selected_frame_220441.jpg,selected_frame_218638.jpg,0.9222974917966229
anemo_0_07.29_15.56.33_12.jpg,anemo_0_07.29_15.56.33_19.jpg,0.9340527889448811
anemo-05_2.53.2.jpg,anemo-05_3.3.5.jpg,0.9219062451891186
anemo_0_07.20_11.56.33_2.jpg,anemo_0_07.20_11.56.33_6.jpg,0.9058952128723435
anemo_0_07.24_11.08.33._21.jpg,anemo_0_07.24_11.08.33._10.jpg,0.9579439525678467
anemo_0_07.26_21.08.33._8.jpg,anemo_0_07.26_21.08.33._5.jpg,0.9028521466600506
anemo_0_07.29_18.56.33_12.jpg,anemo_0_07.29_18.56.33_17.jpg,0.9326823007401692
