Cluster,Class,Count,Percentage of class (%)
619,2,30,0.57
620,1,21,0.11
620,2,9,0.17
620,3,19,0.5
621,1,2,0.01
621,3,1,0.03
621,4,1,0.1
621,5,99,14.14
622,1,93,0.5
622,4,1,0.1
623,1,1,0.01
623,4,1,0.1
623,5,38,5.43
624,1,3,0.02
624,2,1,0.02
624,4,1,0.1
624,5,143,20.43
625,4,48,4.94
625,5,6,0.86
626,1,15,0.08
626,3,1,0.03
627,1,13,0.07
628,3,25,0.66
629,1,1,0.01
629,3,67,1.76
629,4,1,0.1
629,5,1,0.14
629,7,9,1.64
630,1,13,0.07
630,2,20,0.38
631,2,26,0.5
632,1,34,0.18
633,2,28,0.53
634,2,57,1.09
635,1,25,0.13
635,4,1,0.1
636,1,16,0.09
637,1,32,0.17
637,3,1,0.03
638,1,11,0.06
639,1,48,0.26
640,1,14,0.08
641,1,13,0.07
642,1,23,0.12
642,2,1,0.02
643,1,39,0.21
644,1,23,0.12
645,2,23,0.44
646,2,20,0.38
647,2,44,0.84
648,2,18,0.34
649,2,48,0.92
650,2,61,1.16
650,3,1,0.03
650,7,1,0.18
651,2,28,0.53
652,2,27,0.52
653,2,41,0.78
654,2,42,0.8
655,2,25,0.48
656,2,34,0.65
657,2,12,0.23
658,2,10,0.19
659,2,21,0.4
660,2,14,0.27
661,2,22,0.42
662,2,13,0.25
663,2,17,0.32
664,2,28,0.53
665,2,16,0.31
666,2,11,0.21
667,2,1,0.02
667,3,1,0.03
667,4,6,0.62
667,6,29,4.73
668,2,49,0.93
668,3,1,0.03
668,6,2,0.33
669,2,11,0.21
670,2,20,0.38
671,1,57,0.31
672,2,18,0.34
673,2,35,0.67
674,2,32,0.61
675,2,72,1.37
676,1,22,0.12
677,1,1,0.01
677,2,27,0.52
677,3,1,0.03
677,6,1,0.16
678,2,63,1.2
678,3,4,0.11
678,4,1,0.1
678,6,2,0.33
679,1,26,0.14
680,1,22,0.12
681,1,18,0.1
681,5,1,0.14
682,1,101,0.54
682,2,1,0.02
682,4,3,0.31
682,5,2,0.29
682,7,1,0.18
683,1,43,0.23
684,1,15,0.08
684,5,1,0.14
685,1,15,0.08
686,1,30,0.16
687,1,18,0.1
688,1,46,0.25
689,1,45,0.24
690,1,21,0.11
691,1,39,0.21
692,1,22,0.12
693,1,14,0.08
694,1,11,0.06
695,1,17,0.09
696,1,25,0.13
697,1,52,0.28
698,1,19,0.1
698,7,1,0.18
699,1,46,0.25
