Cluster,Class,Count,Percentage of class (%)
495,3,25,0.66
496,2,7,0.13
496,3,30,0.79
497,1,19,0.1
498,1,23,0.12
498,3,1,0.03
499,3,19,0.5
500,1,16,0.09
501,3,11,0.29
502,3,33,0.87
502,6,1,0.16
503,1,31,0.17
504,1,30,0.16
505,1,20,0.11
505,4,1,0.1
506,1,64,0.35
506,4,1,0.1
507,1,19,0.1
508,1,19,0.1
509,1,19,0.1
510,1,25,0.13
511,1,15,0.08
512,1,54,0.29
512,2,1,0.02
513,3,25,0.66
514,1,1,0.01
514,5,39,5.57
514,6,1,0.16
515,1,46,0.25
516,1,12,0.06
517,1,58,0.31
518,1,20,0.11
518,2,1,0.02
519,1,19,0.1
520,1,35,0.19
521,1,18,0.1
522,1,18,0.1
522,3,1,0.03
523,1,15,0.08
524,1,27,0.15
525,1,19,0.1
526,1,1,0.01
526,2,2,0.04
526,3,33,0.87
526,4,1,0.1
527,2,1,0.02
527,3,13,0.34
528,2,1,0.02
528,3,41,1.08
528,4,1,0.1
528,7,1,0.18
529,1,22,0.12
530,1,15,0.08
531,1,18,0.1
532,2,50,0.95
533,1,28,0.15
533,3,1,0.03
534,1,24,0.13
535,1,10,0.05
536,1,21,0.11
537,1,47,0.25
537,5,1,0.14
538,2,1,0.02
538,3,4,0.11
538,4,8,0.82
538,6,22,3.59
539,2,34,0.65
540,2,31,0.59
541,2,53,1.01
542,2,29,0.55
543,1,25,0.13
543,2,1,0.02
544,1,11,0.06
545,1,21,0.11
546,2,12,0.23
546,4,2,0.21
547,1,23,0.12
548,2,2,0.04
548,3,10,0.26
548,4,1,0.1
549,1,67,0.36
549,3,1,0.03
549,4,2,0.21
549,5,1,0.14
550,1,11,0.06
551,1,21,0.11
552,1,27,0.15
553,1,16,0.09
553,3,1,0.03
553,4,2,0.21
554,1,11,0.06
555,1,21,0.11
555,3,1,0.03
556,1,55,0.3
556,4,1,0.1
557,1,18,0.1
558,1,21,0.11
559,1,15,0.08
559,3,1,0.03
559,5,2,0.29
559,7,1,0.18
560,1,42,0.23
560,2,4,0.08
560,4,2,0.21
561,2,26,0.5
562,2,31,0.59
563,1,1,0.01
563,2,34,0.65
564,1,12,0.06
565,1,1,0.01
565,2,14,0.27
566,1,12,0.06
567,2,14,0.27
568,1,20,0.11
569,1,21,0.11
570,1,21,0.11
571,1,30,0.16
572,1,19,0.1
573,1,39,0.21
573,5,7,1.0
574,1,35,0.19
575,1,14,0.08
576,1,20,0.11
577,1,25,0.13
578,1,33,0.18
579,2,11,0.21
580,1,18,0.1
581,1,12,0.06
582,2,52,0.99
583,2,15,0.29
584,2,14,0.27
585,2,17,0.32
586,2,21,0.4
587,2,35,0.67
587,6,1,0.16
588,1,1,0.01
588,2,19,0.36
589,2,14,0.27
590,2,31,0.59
591,2,15,0.29
592,2,30,0.57
593,2,14,0.27
594,3,17,0.45
594,4,1,0.1
595,2,2,0.04
595,3,16,0.42
