Cluster,Class,Count,Percentage of class (%)
532,2,27,0.52
532,9,1,0.49
533,3,30,0.79
534,3,10,0.26
534,7,1,0.18
535,3,8,0.21
535,7,2,0.36
536,2,15,0.29
537,1,30,0.16
537,5,1,0.14
538,2,11,0.21
538,4,3,0.31
538,9,1,0.49
539,3,26,0.68
539,4,1,0.1
540,1,24,0.13
540,2,1,0.02
541,1,28,0.15
542,1,24,0.13
543,1,21,0.11
544,1,22,0.12
545,1,24,0.13
546,2,20,0.38
546,3,21,0.55
546,4,1,0.1
546,6,1,0.16
547,1,22,0.12
548,1,49,0.26
549,1,44,0.24
550,1,33,0.18
551,1,31,0.17
551,3,1,0.03
552,1,52,0.28
553,1,20,0.11
554,1,16,0.09
555,1,19,0.1
556,1,1,0.01
556,2,17,0.32
556,3,1,0.03
557,1,2,0.01
557,3,21,0.55
557,4,3,0.31
557,6,1,0.16
557,7,1,0.18
558,2,15,0.29
558,3,2,0.05
559,3,24,0.63
559,4,1,0.1
559,6,1,0.16
559,7,30,5.46
560,1,17,0.09
561,1,33,0.18
562,1,33,0.18
563,1,17,0.09
564,1,28,0.15
565,1,27,0.15
566,1,17,0.09
567,1,33,0.18
568,3,50,1.32
568,4,4,0.41
568,5,1,0.14
568,6,1,0.16
569,2,1,0.02
569,3,25,0.66
569,5,1,0.14
569,7,1,0.18
570,1,1,0.01
570,3,27,0.71
570,6,1,0.16
570,7,26,4.74
571,2,41,0.78
571,6,1,0.16
572,3,32,0.84
573,3,32,0.84
574,1,1,0.01
574,2,1,0.02
574,3,36,0.95
574,4,2,0.21
574,6,1,0.16
574,7,1,0.18
575,1,32,0.17
575,2,75,1.43
575,3,145,3.81
575,4,15,1.54
575,5,4,0.57
575,6,24,3.92
575,7,11,2.0
575,9,1,0.49
576,1,14,0.08
576,4,2,0.21
577,1,1,0.01
577,3,11,0.29
577,7,8,1.46
578,1,38,0.2
579,1,33,0.18
580,3,26,0.68
581,3,70,1.84
582,1,24,0.13
582,4,1,0.1
583,1,30,0.16
584,1,29,0.16
585,1,1,0.01
585,3,14,0.37
586,3,11,0.29
586,4,2,0.21
586,6,2,0.33
587,1,26,0.14
588,1,37,0.2
589,4,1,0.1
589,5,1,0.14
589,8,164,63.81
589,9,1,0.49
590,8,26,10.12
591,1,20,0.11
591,5,1,0.14
592,1,38,0.2
592,5,1,0.14
593,1,12,0.06
594,1,4,0.02
594,3,1,0.03
594,4,222,22.84
594,5,8,1.14
594,6,168,27.41
594,8,5,1.95
594,9,148,72.91
595,1,2,0.01
595,2,4,0.08
595,4,8,0.82
595,5,92,13.14
595,6,17,2.77
595,8,1,0.39
596,1,41,0.22
596,2,2,0.04
596,3,2,0.05
596,4,3,0.31
597,1,1,0.01
597,2,53,1.01
597,3,1,0.03
598,1,1,0.01
598,4,15,1.54
598,5,45,6.43
598,6,14,2.28
598,8,1,0.39
599,4,4,0.41
599,5,78,11.14
599,6,1,0.16
599,8,1,0.39
600,2,11,0.21
600,4,5,0.51
600,5,2,0.29
600,6,2,0.33
601,2,1,0.02
601,3,1,0.03
601,4,6,0.62
601,5,7,1.0
601,6,1,0.16
602,1,1,0.01
602,4,26,2.67
602,6,83,13.54
602,9,18,8.87
603,4,2,0.21
603,8,17,6.61
604,4,1,0.1
604,5,1,0.14
604,6,8,1.31
605,1,13,0.07
606,1,14,0.08
607,1,22,0.12
607,5,1,0.14
608,1,1,0.01
608,5,18,2.57
609,1,26,0.14
609,2,1,0.02
609,3,16,0.42
609,4,6,0.62
609,5,166,23.71
609,6,9,1.47
609,7,22,4.01
610,1,35,0.19
611,1,20,0.11
612,1,34,0.18
613,1,19,0.1
614,1,47,0.25
615,1,37,0.2
616,1,29,0.16
617,1,41,0.22
618,1,27,0.15
619,1,56,0.3
620,1,24,0.13
621,1,10,0.05
622,1,41,0.22
623,1,20,0.11
624,1,12,0.06
625,1,31,0.17
626,1,36,0.19
627,1,18,0.1
628,1,21,0.11
629,1,58,0.31
630,1,27,0.15
631,1,64,0.35
632,1,20,0.11
633,1,18,0.1
634,1,21,0.11
635,1,28,0.15
636,1,14,0.08
637,1,21,0.11
638,1,42,0.23
639,1,30,0.16
640,1,19,0.1
641,1,23,0.12
642,1,16,0.09
643,1,136,0.73
643,2,24,0.46
643,3,7,0.18
643,4,8,0.82
643,5,1,0.14
643,8,1,0.39
644,1,18,0.1
645,1,11,0.06
646,1,24,0.13
647,1,19,0.1
648,1,18,0.1
649,1,18,0.1
650,1,29,0.16
651,1,47,0.25
652,1,21,0.11
653,1,18,0.1
654,1,29,0.16
655,1,50,0.27
656,1,29,0.16
657,1,19,0.1
658,1,61,0.33
659,1,28,0.15
660,1,21,0.11
661,1,19,0.1
661,3,1,0.03
662,1,19,0.1
663,1,38,0.2
664,1,23,0.12
665,1,39,0.21
666,1,48,0.26
667,1,65,0.35
668,1,23,0.12
668,7,1,0.18
669,1,15,0.08
670,1,62,0.33
671,1,60,0.32
672,1,18,0.1
673,1,22,0.12
674,1,33,0.18
675,1,29,0.16
676,1,18,0.1
677,1,19,0.1
678,1,34,0.18
679,1,17,0.09
680,1,93,0.5
680,5,1,0.14
681,1,70,0.38
681,4,2,0.21
681,5,4,0.57
681,9,1,0.49
682,1,16,0.09
683,1,28,0.15
684,1,20,0.11
685,1,21,0.11
686,1,15,0.08
687,1,31,0.17
688,1,65,0.35
689,1,56,0.3
690,1,10,0.05
691,1,25,0.13
692,1,88,0.47
693,1,11,0.06
694,1,45,0.24
695,1,40,0.22
696,1,23,0.12
697,1,24,0.13
698,1,31,0.17
699,1,31,0.17
700,1,39,0.21
700,2,1,0.02
701,1,19,0.1
702,1,46,0.25
703,1,46,0.25
704,1,17,0.09
705,1,62,0.33
706,1,17,0.09
707,1,33,0.18
708,1,14,0.08
709,1,9,0.05
709,2,1,0.02
710,1,47,0.25
711,1,20,0.11
711,2,1,0.02
712,1,57,0.31
713,1,44,0.24
714,1,27,0.15
715,1,12,0.06
716,1,36,0.19
717,1,15,0.08
718,1,45,0.24
719,1,35,0.19
720,1,22,0.12
720,2,1,0.02
721,1,31,0.17
