Cluster,Class,Count,Percentage of class (%)
563,2,13,0.25
563,4,12,1.23
563,5,1,0.14
563,6,6,0.98
564,4,5,0.51
564,6,19,3.1
565,3,13,0.34
566,3,47,1.24
566,4,1,0.1
567,1,4,0.02
567,3,10,0.26
567,6,1,0.16
568,2,1,0.02
568,3,3,0.08
568,5,1,0.14
568,6,2,0.33
568,7,21,3.83
569,1,6,0.03
569,2,8,0.15
569,3,7,0.18
569,4,2,0.21
569,5,1,0.14
570,1,16,0.09
571,3,31,0.82
571,4,4,0.41
572,2,2,0.04
572,3,31,0.82
572,4,3,0.31
572,6,1,0.16
573,4,1,0.1
573,6,25,4.08
574,2,2,0.04
574,3,13,0.34
574,5,1,0.14
575,1,26,0.14
576,1,46,0.25
577,3,35,0.92
578,1,15,0.08
579,1,41,0.22
580,1,34,0.18
581,1,26,0.14
582,3,14,0.37
583,2,20,0.38
584,2,1,0.02
584,3,62,1.63
584,4,9,0.93
584,6,4,0.65
585,1,48,0.26
585,3,1,0.03
585,7,1,0.18
586,1,2,0.01
586,2,1,0.02
586,4,1,0.1
586,5,6,0.86
587,1,10,0.05
587,2,43,0.82
587,4,1,0.1
588,1,51,0.28
589,1,17,0.09
590,1,15,0.08
591,1,1,0.01
591,2,1,0.02
591,3,10,0.26
591,7,14,2.55
592,1,15,0.08
592,5,1,0.14
593,1,19,0.1
594,1,59,0.32
595,1,20,0.11
595,2,2,0.04
596,3,40,1.05
596,7,5,0.91
597,2,25,0.48
597,3,4,0.11
597,4,1,0.1
598,1,2,0.01
598,3,40,1.05
598,4,4,0.41
599,3,25,0.66
599,7,2,0.36
600,3,12,0.32
600,6,1,0.16
600,7,11,2.0
601,1,13,0.07
602,1,1,0.01
602,2,2,0.04
602,3,41,1.08
602,6,2,0.33
602,7,3,0.55
603,1,10,0.05
603,5,1,0.14
604,2,1,0.02
604,3,44,1.16
604,4,1,0.1
604,6,3,0.49
604,9,1,0.49
605,1,19,0.1
605,6,1,0.16
606,1,22,0.12
606,3,1,0.03
606,4,3,0.31
606,5,125,17.86
606,6,1,0.16
607,1,1,0.01
607,5,11,1.57
608,1,16,0.09
609,3,14,0.37
609,7,2,0.36
610,1,13,0.07
610,3,2,0.05
610,5,23,3.29
611,1,3,0.02
611,3,17,0.45
611,4,5,0.51
611,5,1,0.14
611,7,3,0.55
612,3,1,0.03
612,4,20,2.06
612,5,2,0.29
612,6,70,11.42
612,9,5,2.46
613,1,30,0.16
613,4,1,0.1
613,5,1,0.14
614,1,17,0.09
615,1,16,0.09
616,2,29,0.55
616,3,5,0.13
617,2,11,0.21
617,3,1,0.03
617,4,1,0.1
617,7,1,0.18
618,4,18,1.85
618,9,3,1.48
619,4,18,1.85
620,1,24,0.13
621,1,13,0.07
622,1,19,0.1
623,1,37,0.2
624,3,2,0.05
624,4,38,3.91
624,6,5,0.82
624,9,2,0.99
625,4,13,1.34
625,6,1,0.16
626,1,13,0.07
627,1,26,0.14
628,1,2,0.01
628,4,187,19.24
628,5,5,0.71
628,6,166,27.08
628,8,1,0.39
628,9,155,76.35
629,4,1,0.1
629,5,7,1.0
629,6,15,2.45
630,1,36,0.19
631,5,15,2.14
631,7,1,0.18
632,1,1,0.01
632,4,1,0.1
632,5,70,10.0
633,2,2,0.04
633,3,9,0.24
633,4,1,0.1
633,7,2,0.36
634,3,18,0.47
634,4,2,0.21
634,6,4,0.65
634,7,27,4.92
635,2,1,0.02
635,3,17,0.45
