Cluster,Class,Count,Percentage of class (%)
498,2,13,0.25
499,2,1,0.02
499,3,24,0.63
500,3,18,0.47
501,1,37,0.2
501,3,1,0.03
502,1,11,0.06
503,1,32,0.17
503,4,1,0.1
504,1,13,0.07
505,1,2,0.01
505,2,14,0.27
506,1,1,0.01
506,4,2,0.21
506,7,20,3.64
507,1,15,0.08
507,2,1,0.02
507,5,1,0.14
507,7,1,0.18
508,1,2,0.01
508,3,21,0.55
508,4,3,0.31
508,6,4,0.65
508,9,1,0.49
509,1,15,0.08
510,1,1,0.01
510,2,1,0.02
510,3,39,1.03
510,4,1,0.1
510,7,1,0.18
511,2,1,0.02
511,7,22,4.01
512,1,44,0.24
513,3,6,0.16
513,4,3,0.31
513,7,30,5.46
514,2,1,0.02
514,3,49,1.29
514,7,1,0.18
515,3,16,0.42
516,1,12,0.06
517,3,16,0.42
518,3,44,1.16
518,7,3,0.55
519,3,1,0.03
519,7,15,2.73
520,3,32,0.84
521,3,37,0.97
521,6,1,0.16
522,1,27,0.15
522,4,1,0.1
523,4,3,0.31
523,8,31,12.06
523,9,2,0.99
524,3,10,0.26
524,4,11,1.13
524,5,1,0.14
525,1,9,0.05
525,3,1,0.03
526,3,41,1.08
526,6,1,0.16
526,7,1,0.18
527,2,1,0.02
527,3,15,0.39
527,4,1,0.1
528,2,66,1.26
528,3,4,0.11
528,4,2,0.21
528,6,3,0.49
529,8,154,59.92
530,4,1,0.1
530,8,49,19.07
531,1,1,0.01
531,3,24,0.63
531,7,1,0.18
532,2,15,0.29
533,1,1,0.01
533,4,3,0.31
533,5,28,4.0
533,6,1,0.16
534,5,86,12.29
535,1,32,0.17
536,1,14,0.08
537,1,2,0.01
537,3,9,0.24
537,4,1,0.1
538,1,23,0.12
539,1,27,0.15
540,1,21,0.11
540,3,2,0.05
541,3,11,0.29
541,4,1,0.1
542,3,16,0.42
543,1,20,0.11
543,3,1,0.03
544,1,1,0.01
544,4,7,0.72
544,6,3,0.49
544,7,1,0.18
544,9,1,0.49
545,3,15,0.39
545,6,1,0.16
546,1,37,0.2
546,2,1,0.02
546,4,1,0.1
547,1,33,0.18
548,1,47,0.25
548,3,3,0.08
549,1,1,0.01
549,3,1,0.03
