Cluster,Class,Count,Percentage of class (%)
477,3,41,1.08
477,4,6,0.62
477,7,23,4.19
478,2,10,0.19
478,3,1,0.03
479,3,36,0.95
479,6,1,0.16
480,3,13,0.34
481,2,5,0.1
481,3,6,0.16
481,7,1,0.18
482,1,27,0.15
482,5,1,0.14
483,1,38,0.2
483,5,3,0.43
484,1,48,0.26
485,2,41,0.78
485,6,1,0.16
486,1,37,0.2
487,2,27,0.52
487,9,1,0.49
488,1,29,0.16
489,1,26,0.14
490,5,1,0.14
490,7,20,3.64
491,7,17,3.1
492,1,1,0.01
492,2,9,0.17
492,3,70,1.84
492,4,27,2.78
492,6,4,0.65
492,7,5,0.91
492,9,1,0.49
493,1,15,0.08
494,1,38,0.2
494,5,1,0.14
495,2,27,0.52
496,2,40,0.76
496,3,1,0.03
496,6,1,0.16
496,7,1,0.18
497,2,27,0.52
497,3,2,0.05
498,1,18,0.1
499,1,22,0.12
500,1,11,0.06
501,1,25,0.13
502,3,25,0.66
502,7,1,0.18
503,1,4,0.02
503,2,2,0.04
503,3,1,0.03
503,4,243,25.0
503,5,10,1.43
503,6,175,28.55
503,8,5,1.95
503,9,148,72.91
504,1,12,0.06
505,1,49,0.26
506,1,32,0.17
507,1,1,0.01
507,3,50,1.32
507,4,3,0.31
508,1,1,0.01
508,3,12,0.32
508,4,1,0.1
509,2,1,0.02
509,4,1,0.1
509,7,33,6.01
510,1,1,0.01
510,3,10,0.26
511,2,4,0.08
511,3,17,0.45
512,2,37,0.71
512,4,1,0.1
513,3,18,0.47
514,3,14,0.37
515,3,14,0.37
516,1,31,0.17
517,1,16,0.09
518,1,15,0.08
519,2,66,1.26
519,3,9,0.24
519,4,1,0.1
519,7,5,0.91
520,3,14,0.37
521,3,19,0.5
521,4,1,0.1
522,2,1,0.02
522,3,2,0.05
522,4,25,2.57
523,1,1,0.01
523,3,43,1.13
523,4,3,0.31
523,6,2,0.33
524,1,15,0.08
524,3,1,0.03
525,1,2,0.01
525,2,4,0.08
525,4,10,1.03
525,5,99,14.14
525,6,18,2.94
526,1,1,0.01
526,2,1,0.02
526,3,53,1.39
526,6,1,0.16
526,7,2,0.36
527,2,2,0.04
527,3,48,1.26
527,4,2,0.21
527,7,3,0.55
528,1,33,0.18
529,1,45,0.24
530,8,26,10.12
531,4,2,0.21
531,8,19,7.39
532,4,2,0.21
532,8,173,67.32
533,1,3,0.02
533,2,1,0.02
533,3,8,0.21
533,4,1,0.1
533,7,1,0.18
534,3,26,0.68
535,3,74,1.95
536,3,9,0.24
536,7,15,2.73
537,1,47,0.25
537,2,1,0.02
538,3,10,0.26
538,7,7,1.28
539,1,1,0.01
539,3,28,0.74
539,5,1,0.14
540,3,34,0.89
541,1,53,0.29
542,1,17,0.09
543,1,21,0.11
543,2,45,0.86
543,4,1,0.1
544,3,62,1.63
545,1,19,0.1
546,1,48,0.26
547,1,20,0.11
548,1,32,0.17
549,1,29,0.16
549,3,1,0.03
550,1,12,0.06
551,1,1,0.01
551,4,34,3.5
551,5,1,0.14
551,6,88,14.36
551,8,13,5.06
551,9,18,8.87
552,1,22,0.12
